repo_name,stars,issues,open_prs,closed_prs,total_prs,language,is_fork,url,size_mb,uses_travis,travis_start_date,travis_end_date,travis_duration_days,total_LOC,test_LOC,reduced_test_LOC_HGS
mapeditor/tiled,11492,738,50,1101,1151,C++,False,https://github.com/mapeditor/tiled,99.48,True,2012-09-13 12:36:39,2022-03-10T21:57:22Z,2238.451327433628,450595,113,73
zeromq/libzmq,9932,340,10,2853,2863,C++,False,https://github.com/zeromq/libzmq,23.5,True,2013-05-21 7:32:13,2021-08-26T17:53:56Z,1928.8055555555554,88685,36,23
justcallmekoko/ESP32Marauder,6853,240,25,187,212,C++,False,https://github.com/justcallmekoko/ESP32Marauder,453.55,True,2020-01-31 15:30:22,2021-05-21T01:45:25Z,306.92307692307696,24466,65,42
OSGeo/gdal,5088,537,27,7804,7831,C++,False,https://github.com/OSGeo/gdal,395.85,True,2012-10-06 23:32:07,2024-08-26T13:06:28Z,2780.953125,2019826,64,41
Tencent/TNN,4457,313,9,1032,1041,C++,False,https://github.com/Tencent/TNN,57.77,True,2020-07-06 6:41:21,2021-12-07T08:29:48Z,330.27272727272725,698518,66,42
apache/incubator-pagespeed-ngx,4360,354,0,642,642,C++,False,https://github.com/apache/incubator-pagespeed-ngx,78.87,True,2016-05-02 20:14:16,2022-06-30T19:20:41Z,1431.1818181818182,8556,33,21
USCiLab/cereal,4305,326,53,165,218,C++,False,https://github.com/USCiLab/cereal,18.04,True,2014-03-12 0:02:36,2021-06-22T12:03:22Z,1719.1810344827586,32492,232,150
giuspen/cherrytree,3515,1012,1,465,466,C++,False,https://github.com/giuspen/cherrytree,75.72,True,2020-04-20 8:52:26,2020-11-21T16:55:52Z,137.69662921348313,397557,89,57
visualboyadvance-m/visualboyadvance-m,3444,279,7,440,447,C++,False,https://github.com/visualboyadvance-m/visualboyadvance-m,60.68,True,2018-06-27 2:15:22,2021-05-12T18:18:22Z,674.2105263157895,248878,95,61
slic3r/Slic3r,3403,1159,43,547,590,C++,False,https://github.com/slic3r/Slic3r,163.54,True,2013-09-19 8:42:49,2023-09-16T07:30:26Z,2347.4086956521737,139246,115,74
GarageGames/Torque3D,3348,373,64,1549,1613,C++,False,https://github.com/GarageGames/Torque3D,199.2,True,2018-07-09 20:17:48,2020-07-01T00:09:57Z,456.0,1704701,38,24
Haivision/srt,3195,353,90,1635,1725,C++,False,https://github.com/Haivision/srt,14.74,True,2017-06-23 22:51:40,2025-02-14T16:00:49Z,1804.5853658536587,75370,82,53
ruby/ruby,22346,443,442,12247,12689,Ruby,False,https://github.com/ruby/ruby,316.52,True,2011-11-26 6:26:44,2025-02-14T23:28:32Z,3121.777777777778,1668279,99,64
